LOCATION,LOC_CODE,TRAIL_NAME,REACH,PATH_TYPE,TYPE_CLASS,SURFACE_TYPE,LENGTH_MILE,WIDTH_FT,PRIMARY_USE,JURISDICTION,ACCESSIBILITY,YEAR_BUILT,YEAR_RESURF,NOTES,ASSET_CLASS,CLASS_CATEGORY,GIS_ASSET_ID,INFOR_ASSET_ID
Fuller Park,205,None,None,1,Park Circulation,Concrete,0.0079974,9.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71860,105687
Fuller Park,205,None,None,1,Park Circulation,Concrete,0.00861932,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71958,108654
Fuller Park,205,None,None,1,Right of Way Walk,Concrete,0.03798433,8.0,None,City & County of Denver,None,2011, ,None,WLKTRL,WLK-ROW,71778,104116
Fuller Park,205,None,None,1,Park Circulation,Concrete,0.01485341,8.0,None,City & County of Denver,None,2011, ,None,WLKTRL,WLK-HARD,71779,104117
Fuller Park,205,None,None,1,Right of Way Walk,Stone,0.05598214,5.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,71780,104118
Fuller Park,205,None,None,1,Right of Way Walk,Asphalt,0.02733468,5.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,71781,104119
Fuller Park,205,None,None,1,Right of Way Walk,Stone,0.0128941,5.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,71782,104120
Fuller Park,205,None,None,1,Right of Way Walk,Concrete,0.01789102,8.0,None,City & County of Denver,None,2011, ,None,WLKTRL,WLK-ROW,71993,109345
Fuller Park,205,None,None,1,Park Circulation,Concrete,0.0260508,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71994,109346
Fuller Park,205,None,None,1,Right of Way Walk,Asphalt,0.07552855,5.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,71825,104911
Garland Park,728,None,None,1,Park Circulation,Asphalt,0.02098998,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71861,105688
Garland Park,728,None,None,1,Park Circulation,Concrete,0.19558943,10.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71910,107204
Garfield Lake Park,807,None,None,1,Park Circulation,Concrete,0.11388176,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,71827,104913
Garfield Lake Park,807,None,None,1,Park Circulation,Concrete,0.11324657,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,71783,104121
Garfield Lake Park,807,None,None,1,Park Circulation,Concrete,0.02381683,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,71784,104122
Garfield Lake Park,807,None,None,1,Park Circulation,Concrete,0.00311174,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71886,106453
Garfield Lake Park,807,None,None,1,Park Circulation,Concrete,0.02025148,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,71785,104123
Garfield Lake Park,807,None,None,1,Park Circulation,Asphalt,0.00154599,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71887,106454
Garfield Lake Park,807,None,None,1,Park Circulation,Concrete,0.01362143,10.0,None,City & County of Denver,None,2008, ,None,WLKTRL,WLK-HARD,71996,109348
Garfield Lake Park,807,Garfield Lake Loop,None,1,Park Circulation,Concrete,0.00598365,10.0,None,City & County of Denver,None,2008, ,None,WLKTRL,WLK-HARD,71862,105689
Garfield Lake Park,807,None,None,1,Park Circulation,Concrete,0.00600229,6.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,71828,104914
Garfield Lake Park,807,None,None,1,Park Circulation,Concrete,0.01006871,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,71786,104124
Garfield Lake Park,807,None,None,1,Park Circulation,Concrete,0.00823872,8.0,None,City & County of Denver,None,2010, ,None,WLKTRL,WLK-HARD,71888,106455
Garland Park,728,None,None,1,Park Circulation,Asphalt,0.01396009,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71997,109349
Garland Park,728,None,None,1,Park Circulation,Asphalt,0.0354994,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71911,107205
Garland Park,728,None,None,1,Park Circulation,Asphalt,0.01511446,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71830,104916
